,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Actinobacteria,17,11,4,0,0,10,19,27,1,0,0,2,16,12,0,0,0,2,14,57,12,0,0,0
Bacteroidetes,229280,40385,119056,162747,179199,135975,208794,56311,135543,139153,205399,121966,223361,52241,114317,134623,174935,157808,199365,57243,173289,158558,190629,137597
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,35487,30832,38637,28187,17445,17488,40624,33996,29922,17598,12530,16745,52486,39890,25670,19918,14404,15465,47486,45151,41587,22939,16538,17196
Fusobacteria,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Lentisphaerae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,1,0,1,0
Proteobacteria,31368,13143,14207,79567,20261,22818,26900,19777,19065,26649,23565,12898,23667,11497,12765,56446,16257,11687,16679,9509,11409,66752,15099,23885
Verrucomicrobia,38775,83553,39000,4171,11977,329,38564,73864,25715,18874,26812,2161,56415,60946,29762,16330,24116,10530,45825,69028,14161,19537,15711,962
unknown,27,0,5,25,0,0,28,0,21,3,2,2,34,0,22,6,2,0,8,1,5,32,3,0
