seqname,tax_id,species_name
S000000018,131111,Schaalia turicensis
S000000028,69366,Microbacterium flavescens
S000000030,43660,Pseudoalteromonas undina
S000000053,47877,Pseudomonas amygdali
S000000057,37926,Thermocrispum municipale
S000000063,76123,Prevotella enoeca
S000000066,60520,Lactiplantibacillus paraplantarum
S000000125,55209,Pantoea cypripedii
S000000149,580,Kluyvera cryocrescens
S000000152,47493,Limosilactobacillus panis
S000000169,1467,Bacillus lentus
S000000171,89059,Ligilactobacillus acidipiscis
S000000215,78329,Coenonia anatina
S000000218,1017,Capnocytophaga gingivalis
S000000222,64323,Carnimonas nigrificans
S000000227,57498,Deinococcus grandis
S000000247,53461,Nakamurella multipartita
S000000258,622,Shigella dysenteriae
S000000264,56957,Thermus oshimai
S000000286,78587,Asticcacaulis excentricus
S000000311,182180,Aromatoleum anaerobium
S000000315,29571,Halomonas subglaciescola
S000000390,66229,Komagataeibacter intermedius
S000000396,43667,Glutamicibacter uratoxydans
S000000413,1559,Clostridium tertium
S000000418,68910,Deinococcus murrayi
S000000438,37923,Rothia kristinae
S000000444,76726,Pseudonocardia hydrocarbonoxydans
S000000445,553611,Photobacterium leiognathi
S000000546,65499,Lentzea albida
S000000628,49897,Mycobacterium hodleri
S000000658,112901,Sporomusa malonica
S000000738,82374,Anaerovibrio lipolyticus
S000000782,66863,Ammoniphilus oxalaticus
S000000811,96232,Legionella lytica
S000000815,47858,Micromonospora echinofusca
S000000824,59405,Thauera aromatica
S000000827,29301,Streptomyces arenae
S000000835,44749,Sporobacter termitidis
S000000837,675,Vibrio cincinnatiensis
S000000839,28172,Vibrio metschnikovii
S000000900,587753,Pseudomonas chlororaphis
S000000915,34087,Sphingobacterium faecium
S000000917,184882,Knoellia subterranea
S000000969,1677,Arthrobacter pascens
S000001003,1614,Fructilactobacillus fructivorans
S000001004,1996,Microtetraspora glauca
S000001041,76636,Mycetocola saprophilus
S000001098,86175,Pseudomonas pertucinogena
S000001126,901,Desulfovibrio piger
S000001145,33934,Anoxybacillus flavithermus
S000001172,33909,Pseudonocardia saturnea
S000001177,33038,Ruminococcus gnavus
S000001187,59892,Treponema amylovorum
S000001193,693,Vibrio nereis
S000001211,156892,Boudabousia marimammalium
S000001213,56810,Psychrobacter glacincola
S000001273,60454,Porphyrobacter tepidarius
S000001277,588,Providencia stuartii
S000001309,61592,Corynebacterium durum
S000001310,1708,Cellulomonas fimi
S000001311,546,Citrobacter freundii
S000001320,47989,Dactylosporangium roseum
S000001327,39688,Mycobacterium duvalii
S000001333,54006,Peptoniphilus ivorii
S000001334,46679,Pseudomonas mucidolens
S000001335,59406,Aromatoleum evansii
S000001349,44753,Tsukamurella spumae
S000001365,69,Lysobacter enzymogenes
S000001467,59803,Sphingomonas echinoides
S000001487,73010,Aeromonas encheleia
S000001545,69208,Clostridium polyendosporum
S000001549,33952,Acetobacterium woodii
S000001559,79882,Bacillus halmapalus
S000001560,1479,Bacillus smithii
S000001564,1551,Clostridium aurantibutyricum
S000001603,69365,Microbacterium arabinogalactanolyticum
S000001617,2014,Nocardiopsis dassonvillei
S000001622,46206,Pseudobutyrivibrio ruminis
S000001631,33887,Rathayibacter rathayi
S000001638,55507,Schwartzia succinivorans
S000001688,78355,Streptomyces somaliensis
S000001695,126348,Cellvibrio gandavensis
S000001698,151781,Lactobacillus intestinalis
S000001703,156977,Microbacterium resistens
S000001704,820,Bacteroides uniformis
S000001742,59893,Paenibacillus peoriae
S000001837,37927,Sinomonas atrocyanea
S000001858,45465,Vogesella indigofera
S000001861,1946,Streptomyces kasugaensis
S000001869,33899,Streptomyces galilaeus
S000001870,68274,Streptomyces tauricus
S000001874,52767,Actinomyces denticolens
S000001926,52768,Schaalia georgiae
S000001955,33876,Catenuloplanes japonicus
S000001961,84030,Lacrimispora saccharolytica
S000001965,84032,Pseudoclostridium thermosuccinogenes
S000001971,53343,Desulfotomaculum aeronauticum
S000001972,1863,Dermatophilus congolensis
S000001986,46467,Halocella cellulosilytica
S000001987,46469,Orenia marismortui
S000001988,63129,Halanaerobacter salinarius
S000002003,111292,Moritella abyssi
S000002008,28449,Neisseria subflava
S000002016,54007,Anaerococcus octavius
S000002018,294,Pseudomonas fluorescens
S000002054,674,Vibrio mimicus
S000002128,58107,Pseudonocardia yunnanensis
S000002133,156202,Petrotoga sibirica
S000002159,29370,Lacrimispora sphenoides
S000002167,117503,Thermosipho geolei
S000002172,39691,Mycobacterium moriokaense
S000002328,132926,Clostridium psychrophilum
S000002345,29376,Desulfofundulus thermobenzoicus
S000002363,1632,Limosilactobacillus oris
S000002378,36874,Porphyromonas cangingivalis
S000002380,43678,Oerskovia enterophila
S000002387,34038,Rahnella aquatilis
S000002408,39122,Skermania piniformis
S000002409,114687,Streptomyces auratus
S000002446,117567,Mycobacterium frederiksbergense
S000002494,44250,Paenibacillus alvei
S000002541,36811,Mycobacterium agri
S000002613,54571,Streptomyces venezuelae
S000002651,102170,Desulfallas sapomandens
S000002678,40216,Acinetobacter radioresistens
S000002714,29394,Dolosigranulum pigrum
S000002717,1352,Enterococcus faecium
S000002734,33883,Microbacterium arborescens
S000002735,39687,Mycobacterium austroafricanum
S000002742,1877,Micromonospora echinospora
S000002752,2015,Nocardiopsis prasina
S000002782,78120,Succinispira mobilis
S000002785,1924,Streptomyces purpurascens
S000002788,59917,Saccharopolyspora spinosporotrichia
S000002791,114684,Streptomyces phaeogriseichromatogenes
S000002840,151276,Bacteroides coprosuis
S000002852,122355,Pseudomonas psychrophila
S000002952,155974,Actinokineospora terrae
S000002971,49186,Marinobacterium stanieri
S000002972,48935,Novosphingobium aromaticivorans
S000003074,76935,Salipaludibacillus agaradhaerens
S000003096,1727,Corynebacterium variabile
S000003126,88164,Lactobacillus fornicalis
S000003128,47857,Micromonospora echinaurantiaca
S000003131,33884,Microbacterium imperiale
S000003134,69974,Mesorhizobium plurifarium
S000003149,77095,Prevotella bryantii
S000003151,29401,Pseudonocardia halophobica
S000003153,303,Pseudomonas putida
S000003178,114683,Streptomyces albiflaviniger
S000003179,78356,Streptomyces thermocoprophilus
S000003181,43948,Tolumonas auensis
S000003217,126350,Cellvibrio fibrivorans
S000003243,92645,Herbaspirillum frisingense
S000003292,2051,Mobiluncus curtisii
S000003353,43654,Pseudoalteromonas aurantia
S000003368,86193,Sphingobium abikonense
S000003377,123320,Okibacterium fritillariae
S000003382,52690,Acetobacterium carbinolicum
S000003384,28107,Pseudoalteromonas espejiana
S000003452,28090,Acinetobacter lwoffii
S000003454,61598,Lamprocystis purpurea
S000003455,33879,Agromyces ramosus
S000003458,1656,Actinomyces viscosus
S000003470,79880,Alkalihalobacillus clausii
S000003473,1423,Bacillus subtilis
S000003483,43997,Catonella morbi
S000003489,43771,Corynebacterium urealyticum
S000003508,46470,Halanaerobacter lacunarum
S000003521,47853,Micromonospora carbonacea
S000003525,314281,Pseudoalteromonas tunicata
S000003538,53441,Nocardiopsis lucentensis
S000003547,54005,Peptoniphilus harei
S000003555,43263,Pseudomonas alcaligenes
S000003565,46355,Spirochaeta africana
S000003607,160799,Paenibacillus borealis
S000003677,34058,Methylobacter marinus
S000003703,104609,Vibrio penaeicida
S000003708,269709,Methylotuvimicrobium kenyense
S000003709,45243,Capnocytophaga haemolytica
S000003746,47715,Lacticaseibacillus rhamnosus
S000003748,155975,Actinokineospora enzanensis
S000003791,52695,Actinoplanes brasiliensis
S000003861,52762,Skermanella parooensis
S000003862,52693,Acetobacterium paludosum
S000003900,873,Desulfocurvibacter africanus
S000003927,83617,Stenotrophomonas nitritireducens
S000003968,68214,Streptomyces griseochromogenes
S000004024,28111,Bacteroides eggerthii
S000004105,36813,Mycobacterium pulveris
S000004193,29438,Pseudomonas savastanoi
S000004267,43665,Paenarthrobacter ilicis
S000004268,1381,Atopobium minutum
S000004297,84031,Clostridium sartagoforme
S000004306,58138,Desulfofarcimen acetoxidans
S000004313,562,Escherichia coli
S000004324,47885,Pseudomonas oryzihabitans
S000004333,43674,Jonesia denitrificans
S000004347,53376,Mycobacterium heidelbergense
S000004356,53437,Nocardiopsis alba
S000004390,114688,Streptomyces griseiniger
S000004412,56460,Xanthomonas vesicatoria
S000004441,146820,Streptomyces stelliscabiei
S000004442,1535,Clostridium leptum
S000004495,2724,Hirschia baltica
S000004636,636,Edwardsiella tarda
S000004639,37928,Arthrobacter crystallopoietes
S000004663,76761,Pseudomonas veronii
S000004697,89784,Alicyclobacillus hesperidum
S000004698,1659,Actinomyces israelii
S000004703,37931,Paenarthrobacter ureafaciens
S000004716,76489,Clostridium acetireducens
S000004718,43671,Actinotalea fermentans
S000004732,80871,Cryptosporangium arvum
S000004736,79269,Desulfurella multipotens
S000004739,42252,Desulfovibrio termitidis
S000004741,53345,Enterococcus durans
S000004751,88132,Eremococcus coleocola
S000004753,46201,Geovibrio ferrireducens
S000004758,45248,Leucothrix mucor
S000004769,53440,Nocardiopsis listeri
S000004775,53247,Pseudoalteromonas antarctica
S000004778,48466,Prosthecobacter vanneervenii
S000004779,60133,Prevotella pallens
S000004781,46678,Pseudomonas caricapapayae
S000004794,60137,Sulfitobacter pontiacus
S000004812,672,Vibrio vulnificus
S000004814,60216,Xanthobacter tagetidis
S000004818,88373,Agromyces luteolus
S000004827,84025,Clostridium haemolyticum
S000004837,148814,Apilactobacillus kunkeei
S000004840,47679,Sporomusa sphaeroides
S000004844,106262,Marinitoga camini
S000004852,114696,Streptomyces cangkringensis
S000004853,76517,Campylobacter hominis
S000004997,33995,Komagataeibacter europaeus
S000005054,52770,Buchananella hordeovulneris
S000005084,1493,Clostridium cellulovorans
S000005089,332101,Clostridium drakei
S000005099,71657,Lonsdalea quercina
S000005120,47860,Micromonospora fulviviridis
S000005131,119,Rubinisphaera brasiliensis
S000005151,35813,Roseococcus thiosulfatophilus
S000005163,33058,Thauera selenatis
S000005166,41899,Burkholderia plantarii
S000005174,687,Vibrio gazogenes
S000005176,29498,Vibrio tubiashii
S000005219,614,Serratia liquefaciens
S000005350,83264,Aminobacter aganoensis
S000005383,58346,Streptomyces platensis
S000005441,80881,Simplicispira metamorpha
S000005442,1655,Actinomyces naeslundii
S000005503,45056,Legionella adelaidensis
S000005554,60921,Sanguibacter suarezii
S000005601,100468,Schleiferilactobacillus perolens
S000005673,141692,Nocardiopsis halophila
S000005734,164400,Thauera phenylacetica
S000005758,83340,Clostridium nitritogenes
S000005816,46353,Agrococcus jenensis
S000005842,28898,Campylobacter helveticus
