"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",59759.7689526562,-0.939943574545336,0.135443287666906,-6.93975752314082,3.92773512457378e-12,1.02121113238918e-10
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",142875.95006956,-0.497226083288987,0.126793034921724,-3.92155676055828,8.79787178606605e-05,0.00114372333218859
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",17760.2674290803,-0.588731067881188,0.158165924406751,-3.72223707533339,0.000197465485266989,0.00171136753898057
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",629.670241844423,1.36302177673089,0.405134521755943,3.36436838515575,0.0007671906603552,0.0049867392923088
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2979.8009257952,0.596584987419055,0.282651925814194,2.11067016685119,0.0348006719616019,0.139297439983996
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",11828.3739644665,0.38189539664202,0.184910748354109,2.06529582537128,0.0388950183340321,0.139297439983996
"Firmicutes Bacilli Lactobacillales Enterococcaceae",3.5462397633675,4.86571333063868,2.40102593713741,2.02651427266119,0.0427121116284026,0.139297439983996
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",93.9977907884475,1.62688152178345,0.803372728960759,2.02506441049845,0.0428607507643065,0.139297439983996
"Firmicutes Clostridia Clostridiales unknown",65.03230417492,1.66072661403743,0.874926239187785,1.89813328216002,0.057678526857138,0.163427652706469
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2049.247042347,0.472399791596911,0.253950645915678,1.86020315047266,0.0628567895024882,0.163427652706469
"Firmicutes Clostridia Clostridiales Lachnospiraceae",16101.1472074772,0.348253076643072,0.23286812577379,1.49549482345801,0.134785349888135,0.292571592834619
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",24.1059364445533,3.20544627409188,2.18671078023008,1.46587573586417,0.14268214336419,0.292571592834619
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",15.4229030339368,-1.56610898585058,1.08914183195926,-1.4379293310526,0.150454106440835,0.292571592834619
"Firmicutes Clostridia Clostridiales Eubacteriaceae",22.6631440798747,2.05609484881736,1.45471688877545,1.4133986239399,0.157538549987872,0.292571592834619
"Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae",7.24972063603337,2.07364838338707,1.69552676249282,1.2230112961109,0.221325429787294,0.383630744964642
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",5.13564295857273,-2.74550672839776,3.17106537514556,-0.865799472289888,0.386600138640976,0.609356904754165
"Firmicutes unknown unknown unknown",3.72747015374355,3.93686550851175,4.66212277293906,0.844436257955922,0.398425668493108,0.609356904754165
"Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae",17.8389000200136,-1.63862688727061,2.60574043097112,-0.628852692998248,0.529445499326018,0.764754610137582
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",30.0586456462931,0.655647216179651,1.15437588272486,0.56796683471247,0.570057488073615,0.78007866789021
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",165.642525277166,-0.54009809432466,1.21776440000936,-0.443516081042039,0.657392490242003,0.825129217417771
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",7.12108789655522,1.00209660488029,2.32491771231381,0.431024547480858,0.666450521760507,0.825129217417771
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",69.2990865873217,-0.408868091755727,1.16988469551266,-0.349494350446696,0.726718211441872,0.848951108293783
"Firmicutes Bacilli Lactobacillales Streptococcaceae",19.6094734341934,-0.656613927537201,2.06920041839038,-0.317327370370424,0.750995211182962,0.848951108293783
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4.67895601540214,0.301154270152034,1.43516872407993,0.209838930502823,0.833793387286672,0.903276169560561
"Firmicutes Clostridia Clostridiales Clostridiaceae_1",3.11367584017623,0,5.16147393680411,0,1,1
"Firmicutes Negativicutes Veillonellales Veillonellaceae",31.9992901152277,0,5.16147393680411,0,1,1
