,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Geodermatophilales Geodermatophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Streptosporangiales Nocardiopsaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae,14,4,0,0,0,0,16,26,0,0,0,0,16,12,0,0,0,0,14,52,7,0,0,0
Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae,3,7,2,0,0,10,3,1,1,0,0,2,0,0,0,0,0,2,0,5,5,0,0,0
Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae,206110,29947,101761,145301,146604,77649,185909,46397,112746,118990,162655,74525,198470,39644,94854,117112,132472,127780,180702,46845,144871,144850,146262,90137
Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae,1342,666,353,1198,755,83,1767,1015,962,876,1641,733,1601,1472,661,967,1173,2237,1730,1686,2634,349,888,1401
Bacteroidetes Bacteroidia Bacteroidales Muribaculaceae,11,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae,1037,378,212,494,704,66,782,550,578,618,1071,166,1048,562,286,638,1589,444,912,386,593,164,1132,216
Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae,12275,8410,8975,12707,27733,42034,11851,6406,7254,16370,34259,36233,12664,8988,9888,11045,35040,22968,10173,6122,21798,9151,39815,33220
Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae,3272,2,6212,2544,2353,16086,3266,0,10370,458,2000,10072,2059,1,6755,2638,2385,2423,2433,0,373,3917,1855,11412
Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae,5233,982,1543,501,1048,57,5214,1943,3633,1841,3773,237,7514,1574,1873,2223,2276,1956,3413,2204,3020,127,677,1211
Bacteroidetes Bacteroidia Bacteroidales unknown,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes Cytophagia Cytophagales Cytophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi Anaerolineae Anaerolineales Anaerolineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi Caldilineae Caldilineales Caldilineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast Chloroplast Chloroplast Streptophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota Methanobacteria Methanobacteriales Methanobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillaceae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Bacillales Paenibacillaceae_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Lactobacillales Enterococcaceae,0,1,0,0,0,0,0,41,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0
Firmicutes Bacilli Lactobacillales Lactobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Firmicutes Bacilli Lactobacillales Streptococcaceae,11,232,0,0,0,0,9,222,0,0,0,0,0,450,1,0,0,0,0,345,0,0,0,0
Firmicutes Clostridia Clostridiales Catabacteriaceae,2,14,1,0,0,0,3,12,1,0,7,0,4,19,1,0,19,0,2,18,0,0,3,6
Firmicutes Clostridia Clostridiales Christensenellaceae,0,74,0,0,16,258,2,49,0,0,0,1365,8,110,6,4,0,950,4,71,77,0,13,904
Firmicutes Clostridia Clostridiales Clostridiaceae_1,0,0,0,0,0,0,2,0,0,1,0,0,47,1,0,0,0,0,5,0,0,0,0,0
Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII,8,23,5,69,7,11,6,9,33,31,25,11,12,29,11,55,52,7,26,45,2,198,111,95
Firmicutes Clostridia Clostridiales Eubacteriaceae,6,28,6,10,33,239,8,24,9,1,38,71,105,128,7,42,6,7,7,13,35,12,8,5
Firmicutes Clostridia Clostridiales Lachnospiraceae,16161,15306,31994,2021,9123,9053,21040,16066,21967,1511,4840,7824,28138,22095,22437,2494,4724,8058,33584,26572,29658,325,1709,7716
Firmicutes Clostridia Clostridiales Peptostreptococcaceae,0,109,2,2,0,0,1,1,0,0,0,0,4,426,0,0,0,0,0,40,0,0,3,0
Firmicutes Clostridia Clostridiales Ruminococcaceae,11404,7946,1054,61,780,2514,9252,9160,1610,461,748,2098,10879,11086,632,151,752,529,3501,10363,1130,158,975,804
Firmicutes Clostridia Clostridiales unknown,238,148,102,35,117,227,273,164,56,31,88,191,962,143,29,14,50,91,244,142,296,18,31,30
Firmicutes Clostridia unknown unknown,0,0,0,52,10,0,0,0,0,68,40,1,0,0,0,129,65,26,1,0,0,1,39,49
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae,27,40,71,149,53,205,98,130,99,94,17,456,25,9,74,334,21,88,91,372,296,406,6,48
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae,638,2108,309,10110,1289,1062,520,2097,641,3527,1813,741,852,2562,344,6442,4144,964,612,2780,626,12233,7035,2876
Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae,6992,4798,5091,15678,6017,3915,9341,3814,5404,11873,4908,3987,11449,2813,2114,10253,4569,4745,9335,1987,9354,9588,6602,4658
Firmicutes Negativicutes Selenomonadales Selenomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes Negativicutes unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes unknown unknown unknown,0,5,2,0,0,4,69,2207,102,0,6,0,1,15,14,0,2,0,74,2399,113,0,3,5
Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Lentisphaerae Lentisphaeria Victivallales Victivallaceae,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,1,0,1,0
Proteobacteria Alphaproteobacteria Caulobacterales Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Aurantimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Boseaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Bradyrhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Devosiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Pleomorphomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhizobiales Stappiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Azospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Rhodospirillales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Erythrobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria Sphingomonadales Sphingomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Alphaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae,73,1,0,0,0,0,76,1,31,4,61,142,85,0,27,5,40,79,80,0,0,0,5,122
Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae,27135,1044,12442,1448,10827,15429,24339,961,16227,2531,11377,8632,20725,1076,11764,8463,5417,6961,13572,1611,10439,3432,1445,10329
Proteobacteria Deltaproteobacteria Bdellovibrionales Bdellovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae,2442,11832,1059,2456,1799,3897,2364,18765,2104,1399,2650,2590,2678,9930,942,2051,2133,2055,1730,7767,578,3070,2419,4649
Proteobacteria Deltaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Chromatiales Chromatiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae,5,264,1,75593,5952,3481,0,10,26,21146,9450,1523,0,488,0,42900,8538,1666,0,99,44,60235,11212,8778
Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Legionellales Legionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Proteobacteria Hydrogenophilalia Hydrogenophilales Hydrogenophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Oligoflexia Bacteriovoracales Bacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria unknown unknown unknown,1712,2,705,70,1683,11,121,40,677,1569,0,8,179,0,32,3027,129,924,1297,32,348,15,18,7
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae,38775,83553,39000,4171,11977,329,38564,73864,25715,18874,26812,2161,56415,60946,29762,16330,24116,10530,45825,69028,14161,19537,15711,962
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown unknown unknown,27,0,5,25,0,0,28,0,21,3,2,2,34,0,22,6,2,0,8,1,5,32,3,0
