,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Actinobacteria Actinobacteria Bifidobacteriales Bifidobacteriaceae,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Geodermatophilales Geodermatophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Mycobacteriales Lawsonellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Propionibacteriales Nocardioidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Actinobacteria Streptosporangiales Nocardiopsaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae,0,14,0,0,2,0,10,84,1,0,0,5,10,35,1,0,0,1,3,14,0,0,0,2,1,78,0,0,0,1
Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae,194223,61556,121030,150865,181907,141367,237929,81522,158835,177341,162928,137925,242106,65827,157168,167661,185389,140829,235740,71011,160816,167072,178384,128103,193747,65380,153649,160813,193843,132788
Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae,0,51,0,0,1,3,5,0,2,3,0,3,6,1,0,0,2,1,0,0,0,1,0,0,0,202,5,7,0,0
Bacteroidetes Bacteroidia Bacteroidales Muribaculaceae,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,14,2,0,0,1,0,7,4,0,0,0,0
Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae,0,129,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,68,0,0,2,0
Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae,10286,5612,8016,11372,14884,19221,12363,8533,10381,8275,13358,21479,11295,6159,10298,10122,17535,23026,12564,4645,12669,9262,13332,16538,13291,4940,11202,9079,16367,24752
