""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"1-D0AM"	34848	31684	31445	31389	25709	23864
"1-D0PM"	43903	39889	39643	39781	31258	26870
"1-D1AM"	66832	60507	60248	60228	48720	41806
"1-D1PM"	61771	54258	54135	53929	46469	40563
"1-D29AM"	62205	58141	57676	57946	52825	43223
"1-D29PM"	59721	55081	54539	54868	48727	39204
"1-D2AM"	66674	60328	60006	60116	53091	43002
"1-D2PM"	87366	80122	79458	79791	73729	62030
"1-D3AM"	65842	58837	58559	58616	50857	41863
"1-D3PM"	77977	69663	69344	69344	61278	50476
"1-D4AM"	72461	64487	64258	64278	56587	49585
"1-D4PM"	71323	64106	63688	63872	55907	45793
"1-D5"	112199	103666	103046	103374	94985	73700
"1-D6"	83283	75815	75335	75553	67582	54307
"1-D7"	82162	73988	73427	73669	63907	49975
"2-D0AM"	5178	4509	4417	4465	3969	3944
"2-D0PM"	13582	12328	12206	12253	11284	11104
"2-D10"	88844	81416	80817	81085	73682	58936
"2-D11"	54927	50682	50255	50494	46054	37290
"2-D14"	110195	98737	98023	98330	86148	69109
"2-D16"	128691	113706	113234	113257	99712	83444
"2-D18"	157467	145879	144569	145301	131286	102714
"2-D1AM"	54243	48401	48103	48094	39108	32154
"2-D1PM"	65456	56577	56399	56100	49500	43120
"2-D21AM"	90455	83913	83255	83621	75940	58980
"2-D21PM"	142368	131596	130220	130986	117442	91675
"2-D22AM"	67419	64093	63249	63829	59640	51838
"2-D22PM"	66162	62758	61918	62468	58183	50114
"2-D23AM"	43942	40359	40058	40209	37931	35211
"2-D23PM"	49680	46701	46129	46502	43445	38735
"2-D24"	49802	44875	44400	44638	41532	37348
"2-D25"	72728	68884	68157	68600	64906	58323
"2-D28AM"	63341	59444	58557	59142	54986	47963
"2-D28PM"	59178	55251	54364	54851	50142	42667
"2-D29AM"	70128	63666	63160	63410	57030	46133
"2-D29PM"	74423	68895	68439	68678	62493	51995
"2-D2AM"	89034	80583	80284	80252	70358	58712
"2-D2PM"	70012	63474	63099	63228	56285	47408
"2-D30AM"	68367	62472	62127	62325	56245	45299
"2-D30PM"	67146	61604	61324	61457	56127	47642
"2-D31AM"	83269	76423	75943	76196	68462	54175
"2-D31PM"	77089	72452	72067	72288	67584	56057
"2-D32"	80582	75210	74695	74989	68989	55352
"2-D33"	80515	74209	73654	73941	66403	51531
"2-D35AM"	72298	67858	67511	67723	62594	50278
"2-D35PM"	78185	73419	73015	73236	67485	54614
"2-D36AM"	100894	93198	92719	92956	83884	64368
"2-D36PM"	110847	103440	102937	103217	95635	78421
"2-D37AM"	107902	99468	99213	99288	89732	76359
"2-D37PM"	88624	80726	80601	80605	74552	65954
"2-D38"	99447	89640	89289	89345	82293	69802
"2-D39"	94137	84050	83649	83720	76338	64032
"2-D3AM"	47916	42863	42707	42661	37323	32142
"2-D3PM"	70996	64282	64040	64068	58028	48642
"2-D42AM"	83523	74860	74545	74638	69702	56438
"2-D42PM"	74421	69077	68747	68855	63233	48388
"2-D43AM"	64578	59893	59738	59761	55651	44843
"2-D43PM"	79642	74956	74630	74749	68148	51650
"2-D44AM"	64635	59292	59177	59126	52495	41770
"2-D44PM"	80791	75656	75352	75471	68632	50941
"2-D45AM"	68592	64904	64782	64793	59302	47565
"2-D45PM"	80559	77596	77323	77468	72376	56635
"2-D46"	112325	105687	105151	105457	92953	70702
"2-D47"	84620	80689	80323	80537	74948	57004
"2-D4AM"	110487	96671	96372	96219	83300	72472
"2-D4PM"	76286	68417	68026	68123	61279	51742
"2-D5"	71292	65522	65156	65373	60807	50799
"2-D50AM"	66306	62014	61802	61820	57663	51229
"2-D50PM"	71715	66573	66165	66389	59813	50990
"2-D51AM"	51366	48233	48004	48121	43448	35950
"2-D51PM"	52099	49646	49361	49538	46263	38502
"2-D52AM"	80481	71007	70819	70701	60894	51713
"2-D52PM"	58031	52890	52584	52700	47994	38984
"2-D53"	76736	68693	68112	68401	61821	49644
"2-D54"	57104	52730	52354	52521	47366	37694
"2-D57AM"	54213	50379	49946	50137	45887	35859
"2-D57PM"	37764	35195	34991	35078	32012	25647
"2-D58AM"	69329	64053	63540	63820	57709	42649
"2-D58PM"	63415	58840	58450	58660	51148	39113
"2-D59AM"	39959	37990	37645	37882	34655	25826
"2-D59PM"	38539	36821	36651	36744	34173	27427
"2-D6"	72854	66229	65797	66020	58890	48264
"2-D60AM"	61567	57373	56915	57173	51372	36600
"2-D60PM"	76274	72846	72368	72608	65395	51176
"2-D61"	75670	70274	69796	70044	63916	47638
"2-D62"	53243	49684	49484	49548	45495	36211
"2-D63"	48364	45937	45446	45746	40993	26118
"2-D64AM"	55562	52852	52526	52737	48582	36011
"2-D64PM"	46903	44329	44096	44224	40111	32043
"2-D7"	93392	84268	83619	83886	74602	59552
"2-D8"	33371	31084	30989	31023	28799	25251
"2-D9"	56075	52130	51672	51951	47929	37892
"3-D0AM"	5231	4579	4493	4536	4052	4030
"3-D0PM"	45985	41888	41569	41781	30670	27006
"3-D10"	66459	60972	60427	60753	54527	42401
"3-D11"	75702	70954	70546	70740	65463	52747
"3-D14"	96654	85553	84895	85123	74063	60382
"3-D16"	82273	57072	56869	56289	44344	37805
"3-D18"	130278	121553	120749	121089	110426	89809
"3-D1AM"	58010	51659	51244	51299	43856	35044
"3-D1PM"	64305	57400	57259	57155	50988	44367
"3-D21AM"	148640	138657	137395	138179	125474	97075
"3-D21PM"	141234	131249	130212	130825	118309	92172
"3-D22AM"	71587	67975	67018	67686	62673	52696
"3-D22PM"	52375	48526	47944	48300	44244	39543
"3-D23AM"	58464	53872	53057	53591	48239	41876
"3-D23PM"	60301	56541	55661	56143	51767	45874
"3-D24"	52585	48425	48094	48265	45871	41507
"3-D25"	76245	70848	70124	70581	65829	56664
"3-D28AM"	55921	52069	51310	51822	47184	40532
"3-D29AM"	57502	53365	53002	53219	48852	40023
"3-D29PM"	96289	89810	89166	89581	81503	66033
"3-D2AM"	83720	75838	75495	75590	67058	57073
"3-D2PM"	70091	64008	63555	63759	57509	47646
"3-D30AM"	91556	84944	84571	84739	77510	61585
"3-D30PM"	60158	55566	55370	55458	51183	43585
"3-D31AM"	66110	60602	60171	60411	53217	42647
"3-D31PM"	72033	67882	67462	67718	62498	48938
"3-D32"	72481	67963	67525	67816	62688	48865
"3-D33"	122713	112789	111661	112332	99625	70525
"3-D35AM"	64801	60849	60310	60648	55253	42361
"3-D35PM"	81238	74979	74468	74818	66829	49968
"3-D36AM"	78161	71826	71445	71666	63822	48638
"3-D36PM"	95217	89191	88555	88948	80589	62301
"3-D37AM"	107813	94888	94674	94251	80453	69384
"3-D38"	93015	83613	83224	83272	74599	62184
"3-D39"	107580	99683	99194	99444	91000	71870
"3-D3AM"	75013	66736	66355	66435	58466	49798
"3-D3PM"	70926	62138	61812	61804	52861	46288
"3-D42AM"	79820	71912	71657	71709	65363	53503
"3-D42PM"	53551	50585	50398	50481	47211	38695
"3-D43AM"	68392	64200	63786	64032	58189	44511
"3-D43PM"	88436	81894	81417	81562	73004	51274
"3-D44AM"	52314	48739	48651	48665	44311	36094
"3-D44PM"	64521	60704	60533	60610	55361	43753
"3-D45AM"	80824	76359	76140	76221	69775	55201
"3-D45PM"	84528	80646	80331	80512	75368	59110
"3-D46"	164397	156303	155842	156067	142888	110133
"3-D47"	88978	85055	84597	84879	78751	61586
"3-D4AM"	92470	81248	80958	80821	68015	58389
"3-D4PM"	91206	83881	83125	83627	75106	59152
"3-D5"	87911	80908	80218	80620	71573	56560
"3-D50AM"	77106	72118	71783	71933	67907	56998
"3-D50PM"	57312	53449	53142	53342	49119	41336
"3-D51AM"	46288	42557	42362	42441	38395	33953
"3-D51PM"	84065	78761	78275	78478	73580	62052
"3-D52AM"	62859	58051	57839	57887	52147	44124
"3-D52PM"	58846	54632	54387	54456	49536	42349
"3-D53"	43614	39937	39681	39774	35566	29533
"3-D54"	63006	54613	54175	54318	48832	38768
"3-D57AM"	44862	41244	40816	41008	37621	29379
"3-D57PM"	49001	45797	45404	45556	41350	32166
"3-D58AM"	59960	55606	55144	55434	50885	39541
"3-D58PM"	62853	58758	58214	58574	53139	40900
"3-D59AM"	54774	52541	52174	52406	48918	35606
"3-D59PM"	51160	49230	48943	49123	43714	35593
"3-D6"	98857	90288	89660	89957	79280	63999
"3-D60AM"	44760	41925	41646	41822	38317	29866
"3-D60PM"	50488	48405	48069	48286	45043	35257
"3-D61"	64467	60050	59618	59885	54977	42810
"3-D62"	68268	64483	64088	64291	59448	47611
"3-D63"	53281	50638	50227	50512	46702	34633
"3-D64AM"	44624	42649	42369	42548	39398	30528
"3-D64PM"	56462	53419	53116	53282	49160	39497
"3-D7"	74797	67424	66983	67127	57921	47111
"3-D8"	45798	42379	42281	42278	39229	33913
"3-D9"	68187	62266	61858	62062	56123	44414
"4-D0AM"	9134	8149	8071	8074	6395	6351
"4-D0PM"	15822	14220	14071	14088	12833	12611
"4-D10"	61267	56451	55964	56268	51022	39898
"4-D11"	65219	59910	59504	59675	54194	43496
"4-D14"	122832	108295	107680	107854	94693	74935
"4-D16"	103554	88287	87969	87846	77196	65578
"4-D18"	168687	157742	156249	157067	142849	108553
"4-D1AM"	58354	52478	52272	52187	45388	37431
"4-D1PM"	53296	45402	45311	45066	39212	33894
"4-D21AM"	149733	138129	137021	137660	123945	99580
"4-D21PM"	128407	116171	115156	115663	102787	84303
"4-D22AM"	59282	55360	54561	55099	50559	44407
"4-D22PM"	63272	58987	58380	58703	54666	49709
"4-D23AM"	72073	66580	65618	66181	60383	52205
"4-D23PM"	42284	39587	39009	39372	36256	32578
"4-D24"	45716	41430	40784	41186	37765	33427
"4-D25"	63419	59599	58775	59345	55383	48266
"4-D28AM"	58682	55391	54621	55088	50889	44166
"4-D29AM"	79150	73505	73057	73307	67560	55949
"4-D29PM"	92303	83275	82664	82984	72345	56740
"4-D2AM"	95527	86460	86096	86112	77036	62512
"4-D2PM"	84037	77130	76716	76806	70353	59859
"4-D30AM"	72236	65994	65843	65862	60579	51683
"4-D30PM"	51645	46771	46585	46628	42218	36496
"4-D31AM"	74889	69242	68625	68964	60978	45599
"4-D31PM"	88074	80922	80316	80646	72661	56921
"4-D32"	58589	53309	52902	53134	46681	37038
"4-D33"	90072	82861	82388	82577	74082	59520
"4-D35AM"	59747	55933	55511	55795	50955	40296
"4-D35PM"	72071	65877	65486	65724	58856	47273
"4-D36AM"	77409	69879	69352	69612	62537	48641
"4-D36PM"	84682	78306	77745	78004	71590	58286
"4-D37AM"	95029	84709	84470	84449	74577	63364
"4-D37PM"	83756	75031	74669	74721	66475	56659
"4-D38"	81327	69672	69338	69295	61848	54230
"4-D39"	81636	74130	73668	73801	68252	54805
"4-D3AM"	58681	51174	50844	50858	43584	36861
"4-D3PM"	64455	56987	56829	56658	49655	44185
"4-D42AM"	65790	58166	57911	57973	53979	43752
"4-D42PM"	66454	61768	61480	61572	56464	44765
"4-D43AM"	59560	54803	54540	54361	50029	40838
"4-D43PM"	77656	72581	72245	72386	66045	49661
"4-D44AM"	55950	52022	51921	51899	46692	37441
"4-D44PM"	69706	65393	65057	65178	58755	43711
"4-D45AM"	91845	86928	86749	86763	80634	65637
"4-D45PM"	88225	84484	84158	84354	79204	62116
"4-D46"	98775	93576	93135	93378	84782	66716
"4-D47"	92629	88851	88392	88647	82479	63233
"4-D4AM"	70690	62871	62695	62615	55127	46630
"4-D4PM"	63771	58793	58378	58571	53707	42999
"4-D5"	71127	65693	65051	65457	59213	46063
"4-D50AM"	84579	80292	79728	80097	72610	55555
"4-D50PM"	69678	65637	65219	65510	59168	45920
"4-D51AM"	73802	68943	68643	68776	62684	50895
"4-D51PM"	50805	47802	47560	47674	44559	37327
"4-D52AM"	54033	49972	49794	49860	44601	38716
"4-D52PM"	74237	69672	69387	69449	63731	54185
"4-D53"	86405	81340	80937	81145	74791	62906
"4-D54"	61701	57751	57327	57533	51834	40786
"4-D57AM"	68132	63868	63466	63617	57727	45517
"4-D57PM"	54566	50674	50350	50501	45786	36215
"4-D58AM"	76480	72149	71790	71986	67003	55886
