""	"1-D0AM"	"1-D0PM"	"1-D1AM"	"1-D1PM"	"1-D29AM"	"1-D29PM"	"1-D2AM"	"1-D2PM"	"1-D3AM"	"1-D3PM"	"1-D4AM"	"1-D4PM"	"1-D5"	"1-D6"	"1-D7"	"2-D0AM"	"2-D0PM"	"2-D10"	"2-D11"	"2-D14"	"2-D16"	"2-D18"	"2-D1AM"	"2-D1PM"	"2-D21AM"	"2-D21PM"	"2-D22AM"	"2-D22PM"	"2-D23AM"	"2-D23PM"	"2-D24"	"2-D25"	"2-D28AM"	"2-D28PM"	"2-D29AM"	"2-D29PM"	"2-D2AM"	"2-D2PM"	"2-D30AM"	"2-D30PM"	"2-D31AM"	"2-D31PM"	"2-D32"	"2-D33"	"2-D35AM"	"2-D35PM"	"2-D36AM"	"2-D36PM"	"2-D37AM"	"2-D37PM"	"2-D38"	"2-D39"	"2-D3AM"	"2-D3PM"	"2-D42AM"	"2-D42PM"	"2-D43AM"	"2-D43PM"	"2-D44AM"	"2-D44PM"	"2-D45AM"	"2-D45PM"	"2-D46"	"2-D47"	"2-D4AM"	"2-D4PM"	"2-D5"	"2-D50AM"	"2-D50PM"	"2-D51AM"	"2-D51PM"	"2-D52AM"	"2-D52PM"	"2-D53"	"2-D54"	"2-D57AM"	"2-D57PM"	"2-D58AM"	"2-D58PM"	"2-D59AM"	"2-D59PM"	"2-D6"	"2-D60AM"	"2-D60PM"	"2-D61"	"2-D62"	"2-D63"	"2-D64AM"	"2-D64PM"	"2-D7"	"2-D8"	"2-D9"	"3-D0AM"	"3-D0PM"	"3-D10"	"3-D11"	"3-D14"	"3-D16"	"3-D18"	"3-D1AM"	"3-D1PM"	"3-D21AM"	"3-D21PM"	"3-D22AM"	"3-D22PM"	"3-D23AM"	"3-D23PM"	"3-D24"	"3-D25"	"3-D28AM"	"3-D29AM"	"3-D29PM"	"3-D2AM"	"3-D2PM"	"3-D30AM"	"3-D30PM"	"3-D31AM"	"3-D31PM"	"3-D32"	"3-D33"	"3-D35AM"	"3-D35PM"	"3-D36AM"	"3-D36PM"	"3-D37AM"	"3-D38"	"3-D39"	"3-D3AM"	"3-D3PM"	"3-D42AM"	"3-D42PM"	"3-D43AM"	"3-D43PM"	"3-D44AM"	"3-D44PM"	"3-D45AM"	"3-D45PM"	"3-D46"	"3-D47"	"3-D4AM"	"3-D4PM"	"3-D5"	"3-D50AM"	"3-D50PM"	"3-D51AM"	"3-D51PM"	"3-D52AM"	"3-D52PM"	"3-D53"	"3-D54"	"3-D57AM"	"3-D57PM"	"3-D58AM"	"3-D58PM"	"3-D59AM"	"3-D59PM"	"3-D6"	"3-D60AM"	"3-D60PM"	"3-D61"	"3-D62"	"3-D63"	"3-D64AM"	"3-D64PM"	"3-D7"	"3-D8"	"3-D9"	"4-D0AM"	"4-D0PM"	"4-D10"	"4-D11"	"4-D14"	"4-D16"	"4-D18"	"4-D1AM"	"4-D1PM"	"4-D21AM"	"4-D21PM"	"4-D22AM"	"4-D22PM"	"4-D23AM"	"4-D23PM"	"4-D24"	"4-D25"	"4-D28AM"	"4-D29AM"	"4-D29PM"	"4-D2AM"	"4-D2PM"	"4-D30AM"	"4-D30PM"	"4-D31AM"	"4-D31PM"	"4-D32"	"4-D33"	"4-D35AM"	"4-D35PM"	"4-D36AM"	"4-D36PM"	"4-D37AM"	"4-D37PM"	"4-D38"	"4-D39"	"4-D3AM"	"4-D3PM"	"4-D42AM"	"4-D42PM"	"4-D43AM"	"4-D43PM"	"4-D44AM"	"4-D44PM"	"4-D45AM"	"4-D45PM"	"4-D46"	"4-D47"	"4-D4AM"	"4-D4PM"	"4-D5"	"4-D50AM"	"4-D50PM"	"4-D51AM"	"4-D51PM"	"4-D52AM"	"4-D52PM"	"4-D53"	"4-D54"	"4-D57AM"	"4-D57PM"	"4-D58AM"	"4-D58PM"	"4-D59AM"	"4-D59PM"	"4-D6"	"4-D60AM"	"4-D60PM"	"4-D61"	"4-D62"	"4-D63"	"4-D64AM"	"4-D64PM"	"4-D7"	"4-D8"	"4-D9"	"5-D0AM"	"5-D0PM"	"5-D10"	"5-D11"	"5-D14"	"5-D16"	"5-D18"	"5-D1AM"	"5-D1PM"	"5-D21AM"	"5-D21PM"	"5-D22AM"	"5-D22PM"	"5-D23AM"	"5-D23PM"	"5-D24"	"5-D25"	"5-D28AM"	"5-D28PM"	"5-D29AM"	"5-D29PM"	"5-D2AM"	"5-D2PM"	"5-D30AM"	"5-D30PM"	"5-D31AM"	"5-D31PM"	"5-D32"	"5-D33"	"5-D35AM"	"5-D35PM"	"5-D36AM"	"5-D36PM"	"5-D37AM"	"5-D37PM"	"5-D38"	"5-D39"	"5-D3AM"	"5-D3PM"	"5-D42AM"	"5-D42PM"	"5-D43AM"	"5-D43PM"	"5-D44AM"	"5-D44PM"	"5-D45AM"	"5-D45PM"	"5-D46"	"5-D47"	"5-D4AM"	"5-D4PM"	"5-D5"	"5-D50AM"	"5-D50PM"	"5-D51AM"	"5-D51PM"	"5-D52AM"	"5-D52PM"	"5-D53"	"5-D54"	"5-D57AM"	"5-D57PM"	"5-D58AM"	"5-D58PM"	"5-D59AM"	"5-D59PM"	"5-D6"	"5-D60AM"	"5-D60PM"	"5-D61"	"5-D62"	"5-D63"	"5-D64AM"	"5-D64PM"	"5-D7"	"5-D8"	"5-D9"	"inoculum1-5"	"M2-D10-1A"	"M2-D10-1B"	"M2-D10-2A"	"M2-D10-2B"	"M2-D10-3A"	"M2-D10-3B"	"M2-D8-1A"	"M2-D8-1B"	"M2-D8-2A"	"M2-D8-2B"	"M2-D8-3A"	"M2-D8-3B"	"M2-D9-1A"	"M2-D9-1B"	"M2-D9-2A"	"M2-D9-2B"	"M2-D9-3A"	"M2-D9-3B"
"ASV_1"	0	9	8	53	2740	3248	449	874	750	719	990	1156	2066	918	736	3	0	3805	2706	2708	3466	5190	9	32	3822	6528	1091	620	215	311	271	556	367	210	2638	3050	206	255	4520	5076	4983	4823	1768	4136	5077	5547	7207	7200	18751	21093	13740	7236	196	362	3512	3920	5988	11826	10745	12489	16912	21546	26318	21449	1081	871	1117	32909	31227	18905	15786	27500	18327	11777	11132	5375	4237	6241	7309	6242	8397	968	9313	9055	12259	10931	6092	9830	8094	1229	908	1912	0	0	867	1034	2311	2364	7857	18	159	6038	6990	1393	574	454	288	243	674	379	2078	4627	814	628	5613	4261	3121	4473	3918	5703	3025	4317	4539	4986	9770	11141	15582	732	852	4253	3304	3895	7672	7337	8447	15533	13750	30726	14952	1703	1909	1650	28053	21782	22410	37012	24641	24630	14781	4034	5737	7875	12442	12797	10516	11939	1505	8466	9463	7022	8097	3844	3248	5975	1089	1043	795	18	0	3387	4261	5966	4504	5810	13	54	5401	4140	375	380	506	180	151	446	468	4237	6259	735	733	5165	3586	2900	3884	2417	2950	2318	2687	1717	2178	3651	2855	2491	2185	641	922	3891	4292	3025	9181	9483	10231	18666	17307	18060	20987	1582	1802	1579	12340	10658	25914	19532	20875	31078	30943	10096	2524	2343	9901	7644	14791	13789	2388	15490	20649	21439	21259	14910	6889	11882	1575	1369	2385	142	1	3213	2548	5554	6911	8601	37	78	8560	9476	1096	1001	3	193	333	266	695	301	1699	6194	464	377	6235	4434	7233	6704	25122	34903	19017	21988	5114	4862	3516	4464	6113	3026	510	901	2164	3252	3177	6001	6889	9203	8003	11810	18382	26673	1032	1292	1619	13631	16482	11418	10285	11881	11354	11558	9370	5699	3799	9087	8093	11558	11731	1432	8545	12449	15397	6718	4183	3610	5017	1330	896	2244	48	4285	3743	4685	3809	4291	4461	1885	1751	1722	2128	2127	2349	3322	2917	3835	3105	3627	3345
"ASV_2"	43	32	65	90	9482	7162	397	2190	3358	3795	5154	4211	5399	3080	6050	6	13	8173	4850	9893	5843	11124	195	517	8565	12681	20997	19166	19899	16599	14997	31760	15799	13875	10025	15764	744	4703	7573	9444	11887	16461	2709	9830	8790	6889	5090	14499	2243	1159	417	59	5620	8593	4	8	3	2	9	13	229	1223	4092	4732	11601	11925	7159	2067	918	1650	2641	147	30	13	4	0	0	0	1	0	0	4788	0	4	1	1	8	1	0	5995	1990	3559	1	27	5321	7256	8461	4760	12746	245	44	13007	7437	17865	15609	16833	11518	20289	24873	10442	11411	18216	1573	4885	9927	7241	8031	10216	7805	11267	4494	1824	5077	10209	4848	9203	4541	6014	6010	118	9	10	32	24	84	1644	5155	3885	9802	6484	4520	6799	9723	2999	259	1458	1500	426	59	13	3	1	0	0	5	7	5062	6	26	6585	11039	7399	5595	4087	3613	639	4232	11	11	5788	4354	10546	10924	14299	151	139	12345	18316	18022	22394	20454	9843	9492	20700	17994	12212	10438	1405	8195	11401	7325	8255	11420	7137	12114	4533	5633	6419	10235	5219	6230	3967	569	5071	7622	24	8	0	0	1	8	9	57	9296	4844	4951	4075	6095	6514	3149	1022	1085	1872	2109	6312	53	0	0	0	0	2	0	8694	0	1	0	1	10	3	0	7238	719	5389	57	35	10798	6462	19870	9030	13066	28	97	12880	10246	22470	25183	24	8669	16966	17606	27488	12547	6880	8210	5178	10287	4590	5746	9771	12947	4467	3620	2686	3036	2701	3352	1250	4947	8178	4814	10139	4927	47	13	9	1	5	30	8580	2967	3584	8593	6885	6713	8831	2114	1238	951	996	348	454	42	2	18	4	1	0	3	2	3076	2	6	2014	2944	9712	1661	2579	8512	3160	6128	528	6486	11872	14785	13427	10947	13487	9883	12902	14959	13749	14356	17209	13427	11320	19054	15785	18270	12652
"ASV_3"	50	109	945	2966	17	29	4994	6482	6429	7645	8601	6900	10109	9075	8932	44	49	16831	6720	16932	29470	35178	708	2687	15377	20095	2646	1745	441	11	71	22	7	7	45	55	8252	7760	58	86	65	80	246	131	170	153	395	389	372	225	48	0	6425	10247	30	43	52	192	220	338	666	854	1167	416	17629	10632	14093	0	0	0	0	0	0	15	6	0	0	0	0	0	0	13904	0	137	0	0	0	0	0	12327	8454	12521	14	72	6475	7723	15307	7753	13481	1676	4754	21208	18484	2170	908	257	111	81	55	13	102	266	7718	5969	556	428	435	433	460	515	113	167	181	243	152	99	76	6852	7152	27	0	0	0	10	0	45	22	69	0	7657	7427	10404	0	0	0	0	7	0	0	5	0	0	0	0	0	0	14146	0	0	0	0	0	0	0	9426	6552	6514	230	65	8622	8426	13799	16433	28799	1252	3167	21174	13578	750	370	20	8	3	12	0	22	32	6770	6448	54	42	39	60	85	112	29	39	31	61	151	71	91	37	6319	7214	1735	1957	1556	3860	3338	3895	6540	5885	4447	2457	9712	9682	11828	1363	995	250	78	27	46	9	0	0	0	0	5	8	0	14333	7	0	7	0	0	0	0	6275	5960	8765	899	41	4493	1084	680	289	264	801	2627	144	134	23	20	28	5	3	7	9	0	26	200	5144	4582	420	308	526	407	78	27	0	0	5	0	0	0	3	0	7470	11027	16	0	0	14	125	0	10	26	236	944	12604	15514	12024	548	669	458	548	511	472	105	0	11	0	0	0	0	0	12831	0	0	0	0	0	0	0	13781	5705	5433	42	18965	17322	18788	16350	19843	21411	14485	13685	17171	16994	17816	19581	23132	20868	27322	21080	26392	22050
"ASV_4"	48	229	1870	7023	955	1834	7145	4305	3890	4489	3154	2683	3657	2064	951	179	825	134	106	239	426	554	1341	4507	248	332	50	28	23	27	15	15	20	26	800	1418	9833	5558	3505	3842	4421	4785	7429	4955	6712	6304	11144	10711	10755	5515	5734	3856	2737	3060	5571	4477	3244	4201	3586	4220	3300	3781	4541	4210	2328	1212	712	381	459	1178	1012	404	149	219	156	39	26	84	103	25	0	266	80	5378	90	399	448	1282	1329	121	84	74	160	121	3191	4089	3044	1820	3633	3901	8955	1848	1803	292	97	33	29	37	48	29	673	2177	9583	6995	5634	4625	4582	5195	6047	9590	5899	8330	8069	8617	15045	7650	9204	5192	5074	9331	7255	4312	6620	5670	6659	7790	7568	16427	7784	6684	6658	5192	1426	1614	281	516	706	319	143	211	50	61	842	1143	2147	3261	4186	2892	3603	4162	5392	4894	4945	7099	1737	1993	2148	438	861	171	168	147	103	145	2526	6451	145	99	65	61	51	28	25	78	36	1623	3192	10984	7266	4413	3745	5804	7397	4610	9954	6527	8079	7692	8174	8568	3250	3956	7589	3654	3788	1300	1186	747	1825	1767	2051	3016	2699	3525	6083	2664	2251	1085	7233	6265	2218	1009	1380	1358	1580	981	354	1107	525	361	90	281	648	337	1006	449	991	1322	1866	3233	330	173	286	1479	37	3388	4599	12296	14847	12999	2123	6933	14366	12929	1396	1380	2198	104	75	52	30	23	496	3147	8280	6542	5824	4558	5616	4050	1292	485	99	262	146	420	602	295	368	1351	4220	4771	3049	2775	1649	1966	1950	2691	1589	2006	2947	5935	2701	2860	1511	5420	6642	5625	5956	7222	6522	1129	2538	2400	2255	1960	2380	2892	3440	1797	2289	3741	6872	4480	4912	5954	7025	420	313	1274	118	109	91	95	92	128	116	63	45	64	68	75	82	104	65	124	100	107	97
"ASV_5"	18	45	493	1077	2353	1622	1948	2198	2480	2390	1384	1354	1360	716	464	30	15	818	462	575	982	1665	324	1100	1305	1822	1086	1153	138	414	362	460	468	454	1865	1760	3282	1375	946	928	798	833	310	869	892	850	1347	1310	328	117	407	2650	1575	2252	863	741	1112	1651	1251	1313	1462	1612	1770	1200	2375	1163	604	2473	2623	1541	2705	803	334	316	165	417	481	1781	2124	1582	2117	375	2538	2777	3409	2210	469	577	417	495	232	386	8	39	181	228	360	406	1010	609	1256	1068	1079	1104	603	372	385	259	1447	1072	2154	2837	2784	2397	1970	1305	834	766	637	718	646	744	837	1054	937	658	1294	2126	1917	445	415	1136	1654	1449	1702	1401	1739	4051	1264	1058	997	583	395	455	617	1797	1025	645	271	1041	250	441	1323	1542	834	1368	538	340	562	628	166	268	304	280	268	175	133	102	35	753	825	789	621	1175	489	1030	1426	1012	514	558	612	251	892	1326	724	2244	2087	3799	3544	591	413	335	466	263	358	486	625	787	1011	3022	2182	239	1944	2261	3478	1628	1301	28	124	82	92	701	744	654	1214	2677	2391	1363	1591	1189	483	616	2387	3698	7934	9885	17756	13896	28935	18371	21188	14902	1673	5283	6984	7130	3815	739	1669	2220	1071	669	806	493	19	237	200	428	357	229	572	946	595	151	180	239	0	173	701	1544	924	947	1332	4080	1845	1642	1292	1128	1596	1574	11206	15097	4883	8189	23630	38502	36978	35176	22320	28785	1792	3071	16341	19614	18307	15592	14714	19906	11289	10996	13179	8770	1376	1666	938	1737	956	350	313	284	229	101	1512	4200	3691	5874	6922	6470	5852	454	1464	1868	1436	270	189	208	285	318	158	140	34	948	802	881	767	896	1038	399	346	451	464	489	515	659	616	828	588	726	637
"ASV_6"	51	83	2071	4637	687	333	4684	4625	7642	10271	10400	9686	13574	12124	6459	80	14	7034	5763	8482	6399	7988	1645	6186	6115	9149	1037	646	218	473	168	259	212	113	1164	982	7407	4341	918	880	1049	1031	440	1347	1257	1248	1516	1148	730	222	32	19	3727	4868	42	11	23	84	119	144	511	807	1192	1108	9077	6671	7089	3	6	0	5	5	0	3	0	0	0	0	0	0	0	6690	0	0	0	0	0	0	1	7562	2757	3529	12	75	5278	6478	6287	4644	12500	2664	4430	10932	13639	2203	965	308	210	165	587	230	509	913	6329	4015	621	599	624	622	681	2797	2959	4048	1958	1577	1110	655	951	6380	5731	3679	2249	2468	1879	1443	1607	1193	1341	2165	1149	10052	8867	8458	42	52	7	10	4	5	2	0	0	2	0	0	0	0	10857	0	0	0	2	0	0	0	7500	5888	4649	143	82	3984	6442	9429	5825	9034	1438	3390	13611	11662	1104	851	709	237	607	902	116	607	590	6416	5389	484	492	499	736	547	841	1400	2112	988	800	1643	1177	1684	66	4512	5963	24	26	39	108	103	146	555	564	513	521	9329	6691	6072	972	707	200	123	61	115	28	2	0	0	0	0	0	0	10907	0	0	0	0	0	0	0	7238	4094	2505	676	49	3799	3644	3492	1769	804	1928	3949	2785	2740	807	594	7	206	400	202	87	58	495	1506	5382	4050	1198	904	842	580	53	21	0	9	6	1	0	5	0	13	4918	6872	5	6	0	0	9	0	0	7	21	472	8426	8461	10597	418	598	715	1007	2086	1514	406	0	51	0	0	0	0	0	9012	0	0	0	49	411	856	1030	5527	2978	3399	481	8083	8508	8546	7550	9274	9315	5464	5660	6962	6920	6734	8268	6798	5500	7977	5979	7534	6032
"ASV_7"	4	3	0	0	1673	1024	24	3	84	7	1739	2844	7590	1149	5237	0	0	5862	2998	6963	6176	9941	2	6	4659	6412	688	500	199	381	170	291	158	186	2664	1530	70	79	1740	1383	2544	1261	2617	3012	2963	3262	9321	9150	704	312	77	351	871	1068	205	289	89	140	72	265	69	94	269	4069	2278	2082	2972	2230	4255	1704	2191	2903	2415	5091	5042	6690	4252	7562	5353	3935	2191	3455	5408	7233	6089	2896	4250	3997	2406	5399	2495	4966	0	0	1332	3951	4769	2298	5376	0	16	10018	6709	779	237	258	196	215	294	371	1265	1964	0	0	2773	1437	2749	2695	2673	6205	3613	3733	7663	8936	2255	162	125	0	4	294	256	790	1473	399	468	71	38	138	2864	0	0	95	4112	4271	1984	4078	1293	1470	1265	4552	2651	3133	4752	3700	4385	2350	2748	3148	3848	4605	2710	3573	2363	2675	3560	2634	4311	5	0	2555	3684	6556	3858	9362	2	7	5851	1714	426	384	690	224	51	118	283	1412	2974	0	8	1620	828	3368	3225	2981	3499	2869	2427	8867	7710	4668	3553	124	143	5	0	818	946	868	293	103	220	121	171	210	288	6	4	7	2056	2837	4450	2835	1781	2201	1555	1411	2430	1826	1123	993	2652	3203	618	3359	5062	6365	8148	6805	5149	3533	3245	1432	2600	0	0	3506	3019	4218	2870	3634	0	4	3676	3388	249	701	1116	217	71	35	518	197	2613	2544	21	2	972	502	2549	1828	2513	4545	1436	1949	3232	3176	1218	1402	406	419	5	7	171	135	42	8	13	72	38	28	121	412	7	6	17	381	527	417	532	1266	2110	4298	2640	3516	3830	1052	1438	2869	3827	4075	1852	3479	4984	3091	2770	3298	1930	4674	2262	1894	42	5860	5858	3961	4592	6109	7645	6514	5443	5642	6836	6727	6535	6584	7407	11012	6111	9783	5735
"ASV_8"	92	263	831	210	2634	3243	258	204	242	1312	1026	2130	8657	8246	8663	1094	3296	1117	1636	7966	9546	3121	1763	194	3452	5127	3777	3821	1954	761	2268	1331	976	778	3283	3674	479	975	4865	5415	6904	5618	10293	2653	2472	2220	1456	1163	260	153	114	118	1324	2856	1690	2536	111	192	190	192	86	49	184	161	7116	3955	5235	55	49	29	48	159	41	188	1975	4716	2821	3280	3306	1421	1541	5834	1647	6445	1482	1108	575	848	765	9333	2516	218	1113	301	5785	6490	1740	2909	5790	232	199	6814	7362	5906	3812	4596	5763	3542	3936	2619	5084	7159	311	195	7372	4673	4645	4458	4561	5398	3785	4568	2928	4068	618	198	103	1232	1717	1336	1596	4012	710	449	435	98	49	392	126	3802	3606	2325	124	201	53	79	240	107	298	111	154	182	629	559	452	466	3215	724	760	740	650	462	456	754	4135	4128	5350	500	6073	359	1589	10901	9515	9840	4466	209	5277	3768	1569	1140	1175	619	891	1263	4101	5710	6184	231	173	4698	3756	5514	5530	3328	6595	3635	3615	1498	2139	3667	1433	182	99	186	449	8729	7622	5360	2270	1018	1079	260	141	410	157	1665	2251	2842	134	167	74	62	265	167	127	101	103	35	120	88	20	13	6349	126	61	92	62	52	33	75	5294	3867	572	1559	167	4506	3675	11320	4886	5486	4764	220	5966	5336	3836	6608	8271	1436	2065	3194	2051	1592	3725	11555	566	750	8450	5477	6187	3761	496	320	52	81	100	98	183	138	135	128	1010	3053	398	40	61	36	105	135	38	26	139	148	3439	4632	4891	42	102	37	81	204	193	110	30	63	133	131	215	83	193	5616	218	411	2087	1159	725	1042	1735	4032	2930	3886	4817	568	561	551	524	582	627	3007	2669	3586	3338	3290	3861	176	175	213	141	204	135
"ASV_9"	8	32	7486	6100	18	8	6720	16143	3029	2940	2945	720	30	20	11	172	4	447	332	612	0	0	6988	8462	5	0	9	3	11	214	3	10	38	13	6	8	5498	5100	10	3	21	5	0	0	1	0	260	2646	12919	15342	24479	22941	369	696	14445	9581	6474	4319	2790	4565	3477	3028	5156	752	280	419	69	27	21	8	23	832	1036	1587	46	10	6	0	0	0	0	24	0	0	6	2	0	2	0	14	1	13	2	47	44	37	12	0	0	6712	8129	0	0	5	0	0	2	0	0	3	1	21	5558	4700	4	7	64	6	0	0	26	0	15	108	4107	8371	8681	2756	1878	12243	7722	9202	7486	3262	4822	5441	7618	8553	763	1299	900	541	72	72	53	235	248	413	627	245	93	85	8	8	0	2	275	0	0	0	5	0	0	0	100	18	41	38	97	960	70	59	0	0	8571	5592	0	0	6	22	378	75	13	7	4	12	7	9590	9071	0	0	0	0	0	0	0	0	13	80	1796	5700	16441	19019	1921	1386	9613	10370	9625	3928	2493	3461	4787	8308	5687	1871	468	270	262	502	513	199	506	305	445	141	777	2892	1138	488	380	183	239	143	164	247	204	160	125	20	4	78	0	41	416	16	632	127	633	0	0	5719	6037	0	0	0	14	0	54	16	16	27	7	2	8	4647	4139	0	1	8	0	0	3	12	29	2419	6568	12826	16956	12885	17697	3224	1392	14595	12259	10500	4608	2419	7845	4822	4515	3972	3708	1126	785	597	1693	1840	3729	1677	2371	1870	2820	1726	2583	2626	467	746	238	148	88	7	46	5	4	4	0	3	77	84	961	5	190	706	3028	2258	160	218	50	45	74	102	20	40	27	18	19	57	39	46
"ASV_10"	0	5	9	11	775	741	128	60	856	845	606	979	1653	858	635	0	0	648	393	379	546	1253	4	4	591	801	829	832	651	1133	499	621	766	620	1072	881	119	77	677	646	664	735	264	741	716	611	988	955	1210	1087	1281	2546	160	151	12688	11439	15583	16168	11969	13662	9749	11712	12790	5139	212	130	246	260	426	2524	3675	8954	6783	12655	3296	1154	1096	727	635	383	507	316	623	531	695	472	224	504	512	502	229	383	0	0	229	240	541	344	1051	14	11	877	842	666	566	641	516	402	552	740	632	708	239	223	628	449	338	444	417	512	444	635	1067	1423	2369	3786	6953	761	599	3588	3076	3924	3446	2592	3342	5291	4958	15291	5887	680	902	608	1828	1380	852	2696	5541	6466	4645	6327	2492	3263	2238	1804	1151	1412	704	1209	1546	973	973	626	500	881	477	357	192	3	0	296	748	768	531	1016	5	17	1100	1024	918	1099	1551	427	431	608	409	1013	825	195	249	702	645	551	763	520	929	767	1131	1450	2200	2106	1534	222	102	403	436	2161	2724	3110	4194	3456	3545	7034	5682	7091	8484	609	533	399	6158	6159	4109	1953	1694	1857	1889	4569	3352	2157	2501	1218	356	294	527	413	748	1124	1874	1394	1669	2610	230	185	245	23	0	328	298	607	689	784	14	6	843	723	954	1584	0	468	666	598	483	485	380	1186	122	108	443	328	191	112	43	30	1371	2222	1801	2086	1115	1044	950	625	163	229	3742	4940	5229	7057	6572	7507	4752	6901	9808	8247	219	303	361	4142	4679	4462	4165	3525	2945	2151	4174	4137	2921	3080	1884	1077	1091	452	826	1565	2337	756	556	1029	926	489	298	310	11	330	276	322	269	314	376	183	154	218	238	195	280	252	276	322	274	340	213
