""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"1-D0AM"	34848	31684	31505	31392	25079	23166
"1-D0PM"	43903	39889	39676	39739	31156	26847
"1-D1AM"	66832	60507	60243	60238	48684	41690
"1-D1PM"	61771	54258	54144	53944	46467	40470
"1-D29AM"	62205	58141	57770	57977	52810	43050
"1-D29PM"	59721	55081	54622	54904	48720	39028
"1-D2AM"	66674	60328	60091	60144	53072	42795
"1-D2PM"	87366	80122	79547	79835	73830	61991
"1-D3AM"	65842	58837	58613	58631	50867	41767
"1-D3PM"	77977	69663	69403	69379	61257	50328
"1-D4AM"	72461	64487	64294	64295	56568	49460
"1-D4PM"	71323	64106	63751	63899	55967	45680
"1-D5"	112199	103666	103164	103422	94971	73397
"1-D6"	83283	75815	75396	75588	67391	53969
"1-D7"	82162	73988	73539	73696	63991	49824
"2-D0AM"	5178	4509	4425	4466	3973	3951
"2-D0PM"	13582	12328	12246	12258	10924	10730
"2-D10"	88844	81416	80928	81139	73771	58767
"2-D11"	54927	50682	50285	50520	46050	37214
"2-D14"	110195	98737	98189	98377	86382	68983
"2-D16"	128691	113706	113327	113288	99763	83332
"2-D18"	157467	145879	144810	145376	131274	102480
"2-D1AM"	54243	48401	48123	48105	39126	32078
"2-D1PM"	65456	56577	56416	56117	49359	42910
"2-D21AM"	90455	83913	83359	83689	76001	58727
"2-D21PM"	142368	131596	130437	131083	117501	91444
"2-D22AM"	67419	64093	63366	63890	59611	51585
"2-D22PM"	66162	62758	62089	62574	58298	49763
"2-D23AM"	43942	40359	40126	40223	37934	35095
"2-D23PM"	49680	46701	46242	46539	43404	38440
"2-D24"	49802	44875	44504	44666	41385	36994
"2-D25"	72728	68884	68308	68680	64925	57896
"2-D28AM"	63341	59444	58699	59187	54929	47684
"2-D28PM"	59178	55251	54509	54911	50197	42326
"2-D29AM"	70128	63666	63230	63433	56987	45896
"2-D29PM"	74423	68895	68496	68704	62532	51822
"2-D2AM"	89034	80583	80320	80313	70125	58257
"2-D2PM"	70012	63474	63155	63266	56224	47158
"2-D30AM"	68367	62472	62179	62337	56224	45100
"2-D30PM"	67146	61604	61376	61472	56217	47549
"2-D31AM"	83269	76423	76058	76223	68440	54034
"2-D31PM"	77089	72452	72119	72317	67598	55831
"2-D32"	80582	75210	74738	74993	68976	55534
"2-D33"	80515	74209	73748	74032	66442	51294
"2-D35AM"	72298	67858	67558	67732	62537	50097
"2-D35PM"	78185	73419	73108	73280	67438	54381
"2-D36AM"	100894	93198	92809	93000	83869	64171
"2-D36PM"	110847	103440	103016	103241	95701	78250
"2-D37AM"	107902	99468	99264	99317	89651	76232
"2-D37PM"	88624	80726	80619	80609	74452	65840
"2-D38"	99447	89640	89340	89385	82244	69462
"2-D39"	94137	84050	83721	83737	76236	63826
"2-D3AM"	47916	42863	42722	42677	37297	32075
"2-D3PM"	70996	64282	64079	64087	58018	48555
"2-D42AM"	83523	74860	74592	74676	69710	56107
"2-D42PM"	74421	69077	68822	68905	63046	48035
"2-D43AM"	64578	59893	59761	59774	55447	44583
"2-D43PM"	79642	74956	74684	74813	67696	51203
"2-D44AM"	64635	59292	59200	59131	52376	41593
"2-D44PM"	80791	75656	75423	75513	68427	50638
"2-D45AM"	68592	64904	64806	64794	59276	47424
"2-D45PM"	80559	77596	77367	77495	72301	56494
